;pharmacie;lien;adresse;coordonnee;telephone
599;Pharmacie Jnane Sofia;https://www.telecontact.ma/annonceur/pharmacie-jnane-sofia-/3279970/casablanca.php; 149, quartier Lissasfa (route d'El Jadida), riad Sofia GH 2;33.5209111876331, -7.679407052873103;05 22 65 08 57 
600;Pharmacie Jobrani;https://www.telecontact.ma/annonceur/pharmacie-jobrani-/3267816/casablanca.php; hay Sidi Moumen, lotiss. Le Sarazin, rue 2 n°28;33.59817554551539, -7.510297870417844;05 22 70 03 43 
601;Pharmacie Joudar;https://www.telecontact.ma/annonceur/pharmacie-joudar-/3269711/casablanca.php; avenue Jaudar Mohamed Ben Abdellah, lot 127 AlMadina AlJadida Mly Rachid;33.555965813977195, -7.533932753084628;05 22 72 71 84 
602;Pharmacie Joulane;https://www.telecontact.ma/annonceur/pharmacie-joulane-/2110123/casablanca.php; 720, avenue Oued Dahab (cité Jemâa) ;33.5461, -7.56425;05 22 29 17 00 
603;Pharmacie Kabli;https://www.telecontact.ma/annonceur/pharmacie-kabli-/3097083/casablanca.php; 126, lotiss. Faraj , Sidi Maârouf;33.519508636043675, -7.651647260604818;05 22 97 32 93 
604;Pharmacie Kader;https://www.telecontact.ma/annonceur/pharmacie-kader-/3055980/casablanca.php; 74, lotiss. Alhouda ang. rue 9 et 10;33.583605000, -7.526075000;05 22 72 43 42 
605;Pharmacie Kamar;https://www.telecontact.ma/annonceur/pharmacie-kamar-/2110059/casablanca.php; 96, av. Mokhtar Ben Ahmed Guernaoui Hay Saada;33.61161122426326, -7.495719748319101;05 22 73 94 93 
606;Pharmacie Kamareddine;https://www.telecontact.ma/annonceur/pharmacie-kamareddine-/2144842/casablanca.php; 6, rue Abdellah Chefchaouni, grp.3;33.562616819279725, -7.544241583589155;05 22 70 47 05 
607;Pharmacie Kamil;https://www.telecontact.ma/annonceur/pharmacie-kamil-/3168258/casablanca.php; quartier Lissasfa (route d'El Jadida), lot. Essalam II imm. 4 n°67 El Oulfa;33.547113703192835, -7.6747425622008905;05 22 90 14 39 
608;Pharmacie Karam Elmers;https://www.telecontact.ma/annonceur/pharmacie-karam-elmers-/3140953/casablanca.php; hay Sidi Moumen, rue 26 kiss. ElMers n°20;33.58577530974161, -7.530838227053891;05 22 70 88 80 
609;Pharmacie Karima;https://www.telecontact.ma/annonceur/pharmacie-karima-/3283542/casablanca.php; hay El Qods, lotiss. Ennour rue 12 n°44;NO COORDINATES;05 22 76 71 61 
610;Pharmacie Kassabat ElAmine;https://www.telecontact.ma/annonceur/pharmacie-kassabat-elamine-/3167148/casablanca.php; quartier Lissasfa (route d'El Jadida), km 9;33.539592809498, -7.681849340625035;05 22 65 13 52 
611;Pharmacie Kassadi;https://www.telecontact.ma/annonceur/pharmacie-kassadi-/3014207/casablanca.php; 20, hay El Qods, résid. Mansouria;33.617703000, -7.488522000;05 22 75 43 00 
612;Pharmacie Kastalani;https://www.telecontact.ma/annonceur/pharmacie-kastalani-/2181939/casablanca.php; 77, rue Abou Mansour Taalabi, hay Dakhla;33.5729, -7.60789;05 22 44 96 98 
613;Pharmacie Kawnouka;https://www.telecontact.ma/annonceur/pharmacie-kawnouka-/3285617/casablanca.php; hay Sidi Moumen, lotiss. Badr GH 14;NO COORDINATES;05 22 74 06 35 
614;Pharmacie Kenza;https://www.telecontact.ma/annonceur/pharmacie-kenza-/2189226/casablanca.php; 17, rue Larache, hay Salam;33.5708, -7.65244;05 22 39 48 12 
615;Pharmacie Khaouarizmi;https://www.telecontact.ma/annonceur/pharmacie-khaouarizmi-/2184265/casablanca.php; 1, rue El Araar -ex Cantenac ;33.58047847597441, -7.596858552944574;05 22 82 37 05 
616;Pharmacie Khayriat Aïn Chok;https://www.telecontact.ma/annonceur/pharmacie-khayriat-aon-chok-/2169934/casablanca.php; bd de Baghdad, résid. Koutoubia;33.54814116201802, -7.5954872249244785;05 22 50 42 59 
617;Pharmacie Khlil;https://www.telecontact.ma/annonceur/pharmacie-khlil-/2195136/casablanca.php; derb El Miter II, rue 11, n°50;33.604, -7.62148;05 22 82 83 50 
618;Pharmacie Khouloud;https://www.telecontact.ma/annonceur/pharmacie-khouloud-/2129536/casablanca.php; hay Yasmina IV, rue 68, n°2;33.53955924735689, -7.586880302211057;05 22 50 22 06 
619;Pharmacie Khéops;https://www.telecontact.ma/annonceur/pharmacie-kh-ops-/2199734/casablanca.php; 9, rue Ibn Yaala El Ifrani ;33.5881, -7.63989;05 22 94 97 28 
620;Pharmacie Kissariat;https://www.telecontact.ma/annonceur/pharmacie-kissariat-/2110281/casablanca.php; cité Jemaa, bloc 6 n°68;33.55047433574489, -7.572689593934683;05 22 29 19 85 
621;Pharmacie Kissariat Aziza;https://www.telecontact.ma/annonceur/pharmacie-kissariat-aziza-/3100907/casablanca.php; 86, bd de la Grande Ceinture (h.Mohammadi), Kiss. Aziza n°21;33.599360430, -7.624813320;05 22 63 51 13 
622;Pharmacie Kounouz;https://www.telecontact.ma/annonceur/pharmacie-kounouz-/3186009/casablanca.php; bd Chefchaouni, km. 9,5 n°42 / G i;33.6117, -7.53087;05 22 67 47 03 
623;Pharmacie Kounouz Al Khaïr;https://www.telecontact.ma/annonceur/pharmacie-kounouz-al-khaor-/3236480/casablanca.php; 5, rue d' Ardèche ;33.5598, -7.61314;05 22 82 97 74 
624;Pharmacie Koutoubia;https://www.telecontact.ma/annonceur/pharmacie-koutoubia-/1564000/casablanca.php; Hay Messaoudia (cité Jemâa), rue 24 n°104, derb My Bouchaïb;33.54599207071493, -7.579699421949613;05 22 37 31 07 
625;Pharmacie Krimat;https://www.telecontact.ma/annonceur/pharmacie-krimat-/2217308/casablanca.php; 341, bd Panoramique ;33.55252848000268, -7.607446456628403;05 22 52 71 35 
626;Pharmacie Ksikes;https://www.telecontact.ma/annonceur/pharmacie-ksikes-/3235024/casablanca.php; avenue du Dix Mars, douar Ouled Zahra, Lahraouiyine;33.5474, -7.54651;05 22 59 62 27 
627;Pharmacie L'Isere;https://www.telecontact.ma/annonceur/pharmacie-l-isere-/3115590/casablanca.php; 74, rue de l' Isère ;33.55776440971334, -7.62162522783471;05 22 85 64 57 
628;Pharmacie La Croix Verte;https://www.telecontact.ma/annonceur/pharmacie-la-croix-verte-/0285900/casablanca.php; 155, av Hassan Seghir ang. bd Lalla Yacout;33.5901, -7.61147;05 22 30 02 97 
629;Pharmacie La Durance;https://www.telecontact.ma/annonceur/pharmacie-la-durance-/3282184/casablanca.php; 15, rue de la Durance ;33.55894976639184, -7.618328459738223;05 22 85 66 72 
630;Pharmacie La Prairie;https://www.telecontact.ma/annonceur/pharmacie-la-prairie-/2196413/casablanca.php; 3 Bis, rue de Constantinople ;33.581285361980676, -7.609760444680445;05 22 48 45 47 
631;Pharmacie La Rotonde;https://www.telecontact.ma/annonceur/pharmacie-la-rotonde-/3056704/casablanca.php; 100, bd Abdelmoumen ;33.581756611438124, -7.6242612447071;05 22 23 47 76 
632;Pharmacie Laayoune;https://www.telecontact.ma/annonceur/pharmacie-laayoune-/0291900/casablanca.php; 635, bd de Goulmima ;33.600656465901814, -7.635348876347911;05 22 26 21 04 
633;Pharmacie Laaziza;https://www.telecontact.ma/annonceur/pharmacie-laaziza-/2143948/casablanca.php; 25, avenue Joulan - ex D, Salmia II;33.5604, -7.57558;05 22 38 24 51 
634;Pharmacie Lagota;https://www.telecontact.ma/annonceur/pharmacie-lagota-/3192631/casablanca.php; 6, bd de la Gotha, sidi Moumen;33.59356880870536, -7.517871368901151;05 22 71 83 36 
635;Pharmacie Lahbabi;https://www.telecontact.ma/annonceur/pharmacie-lahbabi-/2110184/casablanca.php; 78, avenue N (Jamila V) ;33.5569, -7.57452;05 22 37 31 03 
636;Pharmacie Lahjajma;https://www.telecontact.ma/annonceur/pharmacie-lahjajma-/2110305/casablanca.php; avenue Mohamed Sijelmassi -ex Phare résid. Taghzout;33.595948947815074, -7.646463020774199;05 22 29 35 64 
637;Pharmacie Laimoune;https://www.telecontact.ma/annonceur/pharmacie-laimoune-/3053991/casablanca.php; 466, hay Laimoune, c. com. Laimoun, Lissasfa;33.54458264461258, -7.6645888446548724;05 22 90 94 94 
638;Pharmacie Lakbira;https://www.telecontact.ma/annonceur/pharmacie-lakbira-/3015898/casablanca.php; 62, rue du Chasseur Jules Gros ;33.5554, -7.64012;05 22 99 08 75 
639;Pharmacie Lalla Meriem;https://www.telecontact.ma/annonceur/pharmacie-lalla-meriem-/1567300/casablanca.php; cité Lalla Mériem, place ElMasjid n°4;33.55691051939666, -7.55451683206104;05 22 37 33 09 
640;Pharmacie Lamia;https://www.telecontact.ma/annonceur/pharmacie-lamia-/2109976/casablanca.php; lot. Lamia (bd Fouarat), bloc 10 n°7;33.574, -7.57356;05 22 60 46 30 
641;Pharmacie Lamia Grar;https://www.telecontact.ma/annonceur/pharmacie-lamia-grar-/3058465/casablanca.php; 44 Bis, lotiss. Laïla , Sidi Maarouf;33.50786780831226, -7.651864862223874;05 22 32 11 37 
642;Pharmacie Lamoricière;https://www.telecontact.ma/annonceur/pharmacie-lamorici-re-/0292000/casablanca.php; 33, rue de Tarablous -ex Lamoricière ;33.5858, -7.61863;05 22 27 94 56 
643;Pharmacie Lamrissi;https://www.telecontact.ma/annonceur/pharmacie-lamrissi-/2185028/casablanca.php; 45, avenue Khalifa Ben Ismaïl, grp 3, hay Moulay Rachid;33.5576, -7.5485;05 22 72 73 70 
644;Pharmacie Lausanne;https://www.telecontact.ma/annonceur/pharmacie-lausanne-/3053997/casablanca.php; 207, hay Laimoune ;33.543300000, -7.663758000;05 22 90 53 66 
645;Pharmacie Laya;https://www.telecontact.ma/annonceur/pharmacie-laya-/3053985/casablanca.php; 9, rue El Abtal ;33.5571, -7.65277;05 22 25 44 39 
646;Pharmacie Laâfou;https://www.telecontact.ma/annonceur/pharmacie-la-fou-/0291800/casablanca.php; derb Laafou, rue 34 n°43/45;33.575256148679436, -7.593060405423932;05 22 81 35 83 
647;Pharmacie Laïla;https://www.telecontact.ma/annonceur/pharmacie-laola-/2217368/casablanca.php; 37, rue El Bahalil ;33.5982, -7.58688;05 22 40 19 12 
648;Pharmacie Le Crepuscule;https://www.telecontact.ma/annonceur/pharmacie-le-crepuscule-/3084531/casablanca.php; hay Hassani, Hassania II, rue 56 n°13;33.56669334028645, -7.698387777587186;05 22 90 00 47 
649;Pharmacie Lekbira;https://www.telecontact.ma/annonceur/pharmacie-lekbira-/2220775/casablanca.php; 13, allée des Mimosas (Aïn Sebâa) ;33.61825251570551, -7.53336567649688;05 22 34 37 40 
650;Pharmacie Lemrani;https://www.telecontact.ma/annonceur/pharmacie-lemrani-/3058507/casablanca.php; hay Nassim, lot A4, imm. 31, n°2, Lissasfa;33.516548191942626, -7.660707498617398;05 22 90 00 64 
651;Pharmacie Les Iris;https://www.telecontact.ma/annonceur/pharmacie-les-iris-/0884300/casablanca.php; 164, bd d' Anfa ;33.590028825411935, -7.638630492638476;05 22 36 24 79 
652;Pharmacie Les Lions de l'Atlas;https://www.telecontact.ma/annonceur/pharmacie-les-lions-de-l-atlas-/3190300/casablanca.php; avenue Abdelkader Essahraoui, lotiss. Baida II;33.56450758055016, -7.529996349983207;05 22 70 53 52 
653;Pharmacie Liberté;https://www.telecontact.ma/annonceur/pharmacie-libert-/0292200/casablanca.php; 104, bd de Paris ;33.5919, -7.61622;05 22 27 55 23 
654;Pharmacie Lilas Madina Al Jadida;https://www.telecontact.ma/annonceur/pharmacie-lilas-madina-al-jadida-/3287431/casablanca.php; 262, bd Vingt Août, lotiss. Al Madina Al Jadida;NO COORDINATES;05 22 70 96 35 
655;Pharmacie Lina;https://www.telecontact.ma/annonceur/pharmacie-lina-/3195823/casablanca.php; 14, rue Sidi Okba ;33.5783, -7.60467;05 22 54 19 27 
656;Pharmacie Lissane Eddine;https://www.telecontact.ma/annonceur/pharmacie-lissane-eddine-/3153789/casablanca.php; 69 Bis, hay El Qods, grp. Albaida;33.617703000, -7.488522000;05 22 74 07 40 
657;Pharmacie Lissasfa;https://www.telecontact.ma/annonceur/pharmacie-lissasfa-/1535100/casablanca.php; route d' El jadida, km 9;33.53363128977541, -7.670052314825284;05 22 65 05 47 
658;Pharmacie Lixus;https://www.telecontact.ma/annonceur/pharmacie-lixus-/3306376/casablanca.php; 76, lotiss. Riad El Oulfa, extention Gh36;33.54651742098885, -7.712485607670601;05 22 93 51 69 
659;Pharmacie Longchamp;https://www.telecontact.ma/annonceur/pharmacie-longchand-/0292300/casablanca.php; rue d' Ifrane - ex Toulouse, Marché Cil;33.5726, -7.65747;05 22 36 47 51 
660;Pharmacie Lopez;https://www.telecontact.ma/annonceur/pharmacie-lopez-/2217528/casablanca.php; 15, rue El Marrakouchi ;33.59271519129872, -7.649122378331003;05 22 39 92 98 
661;Pharmacie Lopresti;https://www.telecontact.ma/annonceur/pharmacie-lopresti-/0292400/casablanca.php; 206, bd Brahim Roudani ;33.569942220, -7.643468880;05 22 98 97 83 
662;Pharmacie Lotf Allah;https://www.telecontact.ma/annonceur/pharmacie-lotf-allah-/3208712/casablanca.php; hay Mohammadi, hay Mino, rue 3, n°7;33.5778002345094, -7.569220638057004;05 22 60 48 84 
663;Pharmacie Lotissement Al Alamia;https://www.telecontact.ma/annonceur/pharmacie-lotissement-al-alamia-/3270825/casablanca.php; 2, bd Ahl Loghlam, lotiss. Al Alamia SM 56;33.59886892877448, -7.501003273008791;05 22 76 78 19 
664;Pharmacie Loubila;https://www.telecontact.ma/annonceur/pharmacie-loubila-/3201325/casablanca.php; derb Loubila, rue 15 n°16;33.60276957594688, -7.63662112521979;05 22 26 00 14 
665;Pharmacie Loukkos;https://www.telecontact.ma/annonceur/pharmacie-loukkos-/1779900/casablanca.php; 125, bd Oued Ziz ;33.5603, -7.68219;05 22 90 51 07 
666;Pharmacie Louz;https://www.telecontact.ma/annonceur/pharmacie-louz-/3141889/casablanca.php; route Sidi Massoud , douar Lamzabyine Aïn Chock;33.516429106882875, -7.623311204340325;05 22 21 08 27 
667;Pharmacie Louza;https://www.telecontact.ma/annonceur/pharmacie-louza-/2206674/casablanca.php;" hay Moulay Rachid, grp.1 rue ""F"" n°55";33.56516923173242, -7.550983634185741;05 22 71 47 34 
668;Pharmacie Lumières;https://www.telecontact.ma/annonceur/pharmacie-lumi-res-/2197701/casablanca.php; 550, bd El Qods ;33.53890478651382, -7.6009424391887785;05 22 52 40 29 
669;Pharmacie Luxembourg;https://www.telecontact.ma/annonceur/pharmacie-luxembourg-/3060142/casablanca.php; qu. les Crêtes, lot. Yasmina lot. n°24 Bachkou;33.55478759717217, -7.625604986378408;05 22 85 55 56 
670;Pharmacie Lycée Bnou Rochd;https://www.telecontact.ma/annonceur/pharmacie-lyc-e-bnou-rochd-/3155572/casablanca.php; quartier Lissasfa (route d'El Jadida), Lotiss. Itifaq n°11 Bis;33.53912859603853, -7.676520268894933;05 22 65 01 81 
671;Pharmacie Lycée Med V;https://www.telecontact.ma/annonceur/pharmacie-lyc-e-med-v-/3158964/casablanca.php; 28 Bis, rue de Salonique ;33.57694517783302, -7.612002878636532;05 22 85 43 95 
672;Pharmacie M'Jidou;https://www.telecontact.ma/annonceur/pharmacie-m-jidou-/3140986/casablanca.php; lotiss. Alhouda rue 14 n° 4;33.5785, -7.59373;05 22 72 52 33 
673;Pharmacie Mabrouk;https://www.telecontact.ma/annonceur/pharmacie-mabrouk-/3031099/casablanca.php; hay Mohammadi, 57 bis cité Zerktouni;33.58789026042553, -7.569609477880372;05 22 62 63 61 
674;Pharmacie Machaâ Allah;https://www.telecontact.ma/annonceur/pharmacie-macha-allah-/3059236/casablanca.php; hay El Houda, rue 14 n°162;33.53705164090359, -7.570523448465792;05 22 38 68 59 
675;Pharmacie Madinat Nassim;https://www.telecontact.ma/annonceur/pharmacie-madinat-nassim-/3058511/casablanca.php; 83, hay Nassim, local n°10, Lissasfa;33.517683042760595, -7.658838605662595;05 22 90 47 96 
676;Pharmacie Madinati;https://www.telecontact.ma/annonceur/pharmacie-madinati-/3140956/casablanca.php; bd Ahl Loghlam, lot. Madinati, Gh3 imm. 1 n°2;33.5984, -7.4981;05 22 75 75 68 
677;Pharmacie Maghreb Arabe;https://www.telecontact.ma/annonceur/pharmacie-maghreb-arabe-/1223400/casablanca.php; cité Sidi Bernoussi, bloc 8 n°19;33.612258291125045, -7.507283131308782;05 22 73 15 48 
678;Pharmacie Mahmoud;https://www.telecontact.ma/annonceur/pharmacie-mahmoud-/3058544/casablanca.php; 34, lotiss. Saâda III , Sidi Maârouf;33.504299230340735, -7.650276651798208;05 22 97 39 81 
679;Pharmacie Majal Assiha;https://www.telecontact.ma/annonceur/pharmacie-majal-assiha-/2159964/casablanca.php; 256, av. Mokhtar Ben Ahmed Guernaoui ;33.613843154496216, -7.492653583433471;05 22 74 08 37 
680;Pharmacie Majorelle;https://www.telecontact.ma/annonceur/pharmacie-majorelle-/3136804/casablanca.php; quartier Oulad Taleb, Cooperative Sofaca n°14;33.5359536762204, -7.613161725427972;05 22 50 81 42 
681;Pharmacie Malak;https://www.telecontact.ma/annonceur/pharmacie-malak-/2147932/casablanca.php; 33, rue Saria Ben Zounaim-ex Louis David ;33.5782, -7.62684;05 22 25 95 86 
682;Pharmacie Malika;https://www.telecontact.ma/annonceur/pharmacie-malika-/2129491/casablanca.php; 579, bd Modibo Keita ;33.5619, -7.61192;05 22 80 75 59 
683;Pharmacie Mamounia;https://www.telecontact.ma/annonceur/pharmacie-mamounia-/2114435/casablanca.php; 20, place Prince Sidi Mohamed -ex Sémard ;33.589963585621796, -7.592579803607266;05 22 24 56 42 
684;Pharmacie Mandarona;https://www.telecontact.ma/annonceur/pharmacie-mandarona-/2198613/casablanca.php; rte de Bouskoura (c.t.1029) , résid. Ennakhil, Sidi Maarouf;33.5314284470348, -7.648277205850945;05 22 33 56 99 
685;Pharmacie Marché Crio;https://www.telecontact.ma/annonceur/pharmacie-march-crio-/3253035/casablanca.php; cité Lalla Mériem, bloc 8 n°10;33.554710701029926, -7.555603196740584;05 22 56 44 17 
686;Pharmacie Marché Municipal Ain Chok;https://www.telecontact.ma/annonceur/pharmacie-march-municipal-ain-chok-/2110040/casablanca.php; 174, bd El Khalil, hay Mly Abdellah;33.54733852019331, -7.597732066684061;05 22 21 79 68 
687;Pharmacie Marché Santra;https://www.telecontact.ma/annonceur/pharmacie-march-santra-/2215060/casablanca.php; cité Lalla Mériem, marché 5, n°11;33.555353364552246, -7.552882559774844;05 22 37 65 23 
688;Pharmacie Marhaba;https://www.telecontact.ma/annonceur/pharmacie-marhaba-/0293100/casablanca.php; 61, av des Forces Armées Royales ;33.597285199935854, -7.6132878661079495;05 22 31 16 40 
689;Pharmacie Marina;https://www.telecontact.ma/annonceur/pharmacie-marina-/2152147/casablanca.php; 54, rue Ibn Jahir -ex Taravo ;33.6000628589876, -7.648396848807818;05 22 94 24 39 
690;Pharmacie Marjane Ain Sebaâ;https://www.telecontact.ma/annonceur/pharmacie-marjane-ain-seba-/3055130/casablanca.php; quartier Beausite, c. com. Marjane n°18;33.594589745349225, -7.5311014200973565;05 22 67 36 37 
691;Pharmacie Marjane Californie;https://www.telecontact.ma/annonceur/pharmacie-marjane-californie-/2168106/casablanca.php; route de Bouskoura(c.t.1029), c.com. Marjane, mag.13;33.53726772352098, -7.642702772789007;05 22 21 19 73 
692;Pharmacie Marocaine;https://www.telecontact.ma/annonceur/pharmacie-marocaine-/0293300/casablanca.php; 6, place Sidi Maarouf ;33.5621905544692, -7.605310111083759;05 22 28 05 86 
693;Pharmacie Marouane;https://www.telecontact.ma/annonceur/pharmacie-marouane-/2129502/casablanca.php; hay Sadri (Bournazel), grp. 4 rue 24 n°23;33.57083233390036, -7.554377293368589;05 22 70 83 30 
694;Pharmacie Mars;https://www.telecontact.ma/annonceur/pharmacie-mars-/3221123/casablanca.php; quartier Beausite, résid. Al Wifaq, GH 9 n°2;33.59519741730472, -7.539665376921903;05 22 34 36 35 
695;Pharmacie Masjid Abou Bakr;https://www.telecontact.ma/annonceur/pharmacie-masjid-abou-bakr-/3336457/casablanca.php; lotiss. Riad El Oulfa, bd Mly Touhami n°11/12;NO COORDINATES;05 22 65 84 64 
696;Pharmacie Masjid AlAndalous;https://www.telecontact.ma/annonceur/pharmacie-masjid-alandalous-/3077737/casablanca.php; lot. Anassi 24, Entrée 1, n°1 bis, Ahl Loghlam;33.5869, -7.50148;05 22 76 57 13 
697;Pharmacie Masjid Attacharouk;https://www.telecontact.ma/annonceur/pharmacie-masjid-attacharouk-/3115921/casablanca.php; hay Sidi Moumen, Lotiss. Talibi, lot. 9;33.57302019906074, -7.527308439990293;05 22 72 34 44 
698;Pharmacie Masjid C.i.l;https://www.telecontact.ma/annonceur/pharmacie-masjid-c-i-l-/3138956/casablanca.php; hay Salam - ex Cil, lotiss. du stade n°22;33.570112717511336, -7.656521177073728;05 22 39 88 73 
699;Pharmacie Masjid El Madina;https://www.telecontact.ma/annonceur/pharmacie-masjid-el-madina-/3270824/casablanca.php; hay Moulay Rachid, lotiss. El Madina El Jadida lot.69 bd 20 Août n°64;33.55518044161931, -7.5349795577728855;05 22 72 91 54 
700;Pharmacie Massira Hassania;https://www.telecontact.ma/annonceur/pharmacie-massira-hassania-/2204197/casablanca.php; lotiss. Al Massira Al Hassania, lot 55 rue 6;33.55030306442114, -7.675557151012413;05 22 89 57 77 
701;Pharmacie Massoudia;https://www.telecontact.ma/annonceur/pharmacie-massoudia-/3112074/casablanca.php; derb Salama, bloc 33 n°35 bis;33.548046105640964, -7.578961678026644;05 22 55 77 66 
702;Pharmacie Maurice Gaud;https://www.telecontact.ma/annonceur/pharmacie-maurice-gaud-/1789700/casablanca.php; 48, rue des Hôpitaux ;33.5786, -7.62142;05 22 20 20 65 
703;Pharmacie Mazola;https://www.telecontact.ma/annonceur/pharmacie-mazola-/3054785/casablanca.php; hay Saada - ex Mazola (q. Aviation), n°51 rue 4;33.56742192482556, -7.670726156016599;05 22 93 36 89 
704;Pharmacie Mechmach;https://www.telecontact.ma/annonceur/pharmacie-mechmach-/3058515/casablanca.php; 18, lotiss. Anna , Ouled Haddou Sidi Maârouf;33.513903783787846, -7.6468169448578465;05 22 97 39 12 
705;Pharmacie Mecqua;https://www.telecontact.ma/annonceur/pharmacie-mecqua-/3034036/casablanca.php; 119, route de la Mecque ;33.54593657525222, -7.63156435794073;05 22 52 59 48 
706;Pharmacie Meftaha;https://www.telecontact.ma/annonceur/pharmacie-meftaha-/3022887/casablanca.php; lotiss. ElKheir , lot.455- Ouled Haddou, Sidi Maârouf;33.51079391325585, -7.653519442497213;05 22 97 45 73 
707;Pharmacie Mehdi;https://www.telecontact.ma/annonceur/pharmacie-mehdi-/0293600/casablanca.php; 2, rue Georges Sand ;33.57688852578315, -7.636410310440056;05 22 25 82 89 
708;Pharmacie Mehdi Ben Barka;https://www.telecontact.ma/annonceur/pharmacie-mehdi-ben-barka-/3076269/casablanca.php; avenue Mehdi Ben Berka -ex Cimetière, rue AN20 n°3, ElHank;33.6018, -7.64317;05 22 95 15 99 
709;Pharmacie Mendour;https://www.telecontact.ma/annonceur/pharmacie-mendour-/3111725/casablanca.php; 33, cité Sidi Bernoussi, av. C lot. ElHamidia;33.609172000, -7.508541000;05 22 73 40 40 
710;Pharmacie Menjra;https://www.telecontact.ma/annonceur/pharmacie-menjra-/2129499/casablanca.php; hay Saada - ex Mazola (q. Aviation), rue 4 n°16, ang. Ibn Sina;33.57003333333, -7.671011111111;05 22 89 50 05 
711;Pharmacie Menzeh AlQods;https://www.telecontact.ma/annonceur/pharmacie-menzeh-alqods-/2206302/casablanca.php; hay El Qods, lot. AlMenzeh imm.45 n°1;33.62155575155623, -7.482625520011197;05 22 73 35 42 
712;Pharmacie Mercure;https://www.telecontact.ma/annonceur/pharmacie-mercure-/0293700/casablanca.php; 2, rue El Wouroud -ex Pont à Mousson ;33.5682, -7.64518;05 22 27 46 26 
713;Pharmacie Merieux;https://www.telecontact.ma/annonceur/pharmacie-merieux-/0296400/casablanca.php; 311, bd Abdelmoumen ;33.5681, -7.62598;05 22 86 05 70 
714;Pharmacie Merini;https://www.telecontact.ma/annonceur/pharmacie-merini-/3313474/casablanca.php; lotiss. Menzeh (Ain Diab), rue 13 lot Diar El Menzeh 2;NO COORDINATES;05 22 65 13 99 
715;Pharmacie Meryem;https://www.telecontact.ma/annonceur/pharmacie-meryem-/1400000/casablanca.php; 19 Bis, bd Ibn Sina - ex Avicenne ;33.58400520881579, -7.6505227363696005;05 22 36 33 27 
716;Pharmacie Mesk Ellil;https://www.telecontact.ma/annonceur/pharmacie-mesk-ellil-/3110511/casablanca.php; lotiss. Mouna, rue 4 n°44 Aïn chok;33.52977005350497, -7.602943403477699;05 22 87 15 72 
717;Pharmacie Mia;https://www.telecontact.ma/annonceur/pharmacie-mia-/3291023/casablanca.php; quartier Lissasfa (route d'El Jadida), riad Sofia GH5 imm. n°1;NO COORDINATES;05 22 65 04 70 
718;Pharmacie Michel de l'Hospital;https://www.telecontact.ma/annonceur/pharmacie-michel-de-l-hospital-/0293800/casablanca.php; 65, rue Hadj Ahmed Belafrej -ex De l'Hospital ;33.598891768835266, -7.583874198187592;05 22 24 05 94 
719;Pharmacie Miftah Al Khayr;https://www.telecontact.ma/annonceur/pharmacie-miftah-al-khayr-/3077026/casablanca.php; hay Sidi Moumen, Mosquée Attawabine, rue 5, n°3;33.582345380319516, -7.537720775386106;05 22 70 60 84 
720;Pharmacie Milad;https://www.telecontact.ma/annonceur/pharmacie-milad-/2189223/casablanca.php; 283, bd Sidi Abderrahman, hay Salam C.i.l.;33.597505530, -7.603234560;05 22 94 65 30 
721;Pharmacie Milan;https://www.telecontact.ma/annonceur/pharmacie-milan-/1422300/casablanca.php; hay Omar Ibn Khattab, rue 18 n70;33.56677829527232, -7.581819037623632;05 22 81 54 39 
722;Pharmacie Mima;https://www.telecontact.ma/annonceur/pharmacie-mima-/2110033/casablanca.php; hay Idrissia I, rue 40, n°6;33.565705004847075, -7.592958336164884;05 22 80 07 60 
723;Pharmacie Mimosas;https://www.telecontact.ma/annonceur/pharmacie-mimosas-/2178963/casablanca.php; 400, bd Abdallah Ibrahim ex- Al Jamia ;33.530797530, -7.674345000;05 22 98 86 97 
724;Pharmacie Mirabel;https://www.telecontact.ma/annonceur/pharmacie-mirabel-/3084716/casablanca.php; 5, rue des Fauvettes ;33.55847660624556, -7.63529106199937;05 22 23 11 59 
725;Pharmacie Missimi;https://www.telecontact.ma/annonceur/pharmacie-missimi-/2189767/casablanca.php; Lot. Missimi, rue12 ang. rue 24 n°1;33.56354722222, -7.674775;05 22 90 05 29 
726;Pharmacie Mly Abdellah;https://www.telecontact.ma/annonceur/pharmacie-mly-abdellah-/2153579/casablanca.php; hay Moulay Abdallah rue 300, n°98;33.54565588157493, -7.586810596630065;05 22 21 73 64 
727;Pharmacie Mly. Thami;https://www.telecontact.ma/annonceur/pharmacie-mly-thami-/3003544/casablanca.php; cité Essalam, n°1A, Gh 1;33.55020244259605, -7.692548608561765;05 22 89 56 87 
728;Pharmacie Moderne Hay Elfalah;https://www.telecontact.ma/annonceur/pharmacie-moderne-hay-elfalah-/2156256/casablanca.php; hay El Falah, av O n°128 - 130;33.559287270625184, -7.547139950273959;05 22 70 60 71 
729;Pharmacie Modi Bokeita;https://www.telecontact.ma/annonceur/pharmacie-modi-bokeita-/2191933/casablanca.php; 728, bd Modibo Keita ;33.562154700, -7.621816680;05 22 82 65 24 
730;Pharmacie Mohamed Amine;https://www.telecontact.ma/annonceur/pharmacie-mohamed-amine-/3115948/casablanca.php; 74, rue Amzil Moha ;33.5783, -7.54139;05 22 72 48 67 
